infra,session_id,sentence,type,similarity,label
cdp-seattle-21723dcf,80858d2f932a,We're having the public hearing this afternoon and then plan to vote on the requested alley vacation at our full council meeting next week approval of the alley vacation would facilitate the development of this mixed use mixed income project to be built near frequent fixed transit transit of our growing uh which includes our growing light rail system nearly half of the 771 new residential units would be affordable to low-income families under 60 of the area median income i look forward to the comments during today's public hearing thank you thank you council member peterson as presiding officer i'm now opening the public hearing on clerk file three one four four five nine relating to a petition of grand street commons llc for an alley vacation of block 14 joe joe's c kinnears addition to the city of seattle beginning of the block bounded by south grand street uh 22nd avenue south south whole gate and 23rd avenue south the online registration to speak opened at 12 noon today and i will call on speakers in the order in which they registered the online registration will remain open until the conclusion of this public hearing the same rules applied to the public comment period will be applied to this public hearing each speaker will be provided two minutes to speak and each speaker will hear a chime when they have 10 seconds left of the allotted time speakers microphones will be muted at the end of the allotted public comment time public comment relating to clerk file to the clerk file is only being accepted at this public hearing speakers are asked to begin their public comments by stating their name please remember to press star six not pound six star six after you you hear the prompt if you have been unmuted bringing up the list here we have randall olson allison van gorp susan davis melissa weschler maria barrientos and david tan randall good afternoon welcome thank thank you for the opportunity to comment today my name is randall olson i'm a land use attorney at cairn cross and implement in seattle i represent mount baker housing regarding this project this is an exciting day i have been working with mount baker housing on the valley vacation for over two years and it has been a very long journey but the city should be proud of what it is helping to achieve here including the 206 units of affordable housing at 60 percent ami just in the mount baker housing portion of this project there'll be over 350 units of affordable housing across the entire project and my comment today is to voice support for approval of the alley vacation and i also ask that you support and approve council may council member mosquitos proposed amendment which would waive the requirement for mount baker housing to pay the city for the vacated alley as the council knows from from tackling this issue of affordable housing for many years affordable housing projects face many of the same permitting and construction cost issues that market rates and housing does lumber steel concrete it takes to build affordable housing is the same it takes for market rate housing and the costs are the same same with the permitting process so those costs limit how much affordable housing can be built and funded here the city's office of housing is funding the construction of mount baker housing affordable housing building and council member mosquitos amendment would waive the requirement for mount baker housing to pay for the vacated alley land which the effect of of that would be to keep affordable housing dollars with the office of housing where they could be deployed to construct more affordable housing in the city so the the issue of developing affordable housing is not one of a lack of desire but rather a lack of funding and council member mosquitos amendment is an easy way to allocate more dollars towards affordable housing so please approve the alley vacation and the proposed amendment thank you very much thank you randall,open,0.36092612,False
cdp-seattle-21723dcf,5209ff58fc05,"So if there is no objection, the public comment period will be extended from 20 minutes to 30 minutes.",open,0.6777977,False
cdp-seattle-21723dcf,5209ff58fc05,So we will finish public comment at approximately 2.41 p.m.,open,0.6644746,False
cdp-seattle-21723dcf,2ed157aaefab,"At this time, we will move into public comment.",open,0.64485615,True
cdp-seattle-21723dcf,2ed157aaefab,We have five people signed up for public comment.,open,0.54635835,False
cdp-seattle-21723dcf,2ed157aaefab,"I will moderate the public comment period, allowing each Speaker two minutes to speak.",open,0.5432584,False
cdp-seattle-21723dcf,4064eda8412c,"We have no further items of business for our agenda, so we are adjourned, and I will see you all at 2 o'clock.",open,0.40712202,False
cdp-seattle-21723dcf,4064eda8412c,I'm excited to be able to provide kickoff comments at that particular event virtually.,open,0.38982898,False
cdp-seattle-21723dcf,4064eda8412c,"Amendments were due last week to central staff, but I know some people need some more time.",open,0.3600618,False
cdp-seattle-21723dcf,3b729b651d17,I've got it open now.,open,0.527061,False
cdp-seattle-21723dcf,3b729b651d17,"Because the appeals are quasi judicial matters, the committee is not able to accept public comment today.",open,0.46911544,False
cdp-seattle-21723dcf,3b729b651d17,There were comments.,open,0.4651921,False
cdp-seattle-21723dcf,a1d5b6c025e4,I will go ahead and open up the record from session 2 on today's agenda.,open,0.34943748,False
cdp-seattle-21723dcf,a1d5b6c025e4,I'm going to turn it over to our budget lead from central staff to remind us of the process for submitting your questions to central staff so we can compile those in one place.,open,0.28307438,False
cdp-seattle-21723dcf,a1d5b6c025e4,"And if not, of course, feel free to introduce yourself as our presentation commences.",open,0.25667697,False
cdp-seattle-21723dcf,9b6de70aa7c9,So the public comment period is now open and we're going to begin with the first speaker on the list.,open,0.70166683,True
cdp-seattle-21723dcf,9b6de70aa7c9,"So if there is no objection, the public comment period will be extended to 60 minutes.",open,0.6625401,False
cdp-seattle-21723dcf,9b6de70aa7c9,"Hearing no objection, the public comment period is now extended to 60 minutes, if we need to extend it a little further to allow for everyone to address the city council this afternoon, we will make sure to do that accordingly.",open,0.63942456,False
cdp-seattle-21723dcf,7b04af85d970,That closes public comment for today.,open,0.6946844,False
cdp-seattle-21723dcf,7b04af85d970,"If you'd like to offer public comment before we close the public comment period, you're welcome to still sign up.",open,0.6909033,False
cdp-seattle-21723dcf,7b04af85d970,"The public comment period is now open, and we'll begin with the first three speakers on the list.",open,0.667789,True
cdp-seattle-21723dcf,ddf1cd13cc6e,"The public comment period is now open, and I will go to the first three speakers.",open,0.75238395,True
cdp-seattle-21723dcf,ddf1cd13cc6e,"That concludes our public comment for this morning, and we will make sure, if we do receive any written public comment, that we circulate those to other Councilmembers.",open,0.58715975,False
cdp-seattle-21723dcf,ddf1cd13cc6e,Thank you so much for allowing public comment today.,open,0.5752865,False
cdp-seattle-21723dcf,66b466035bb7,So with that being said we are gonna go ahead and now open up the period of public comment.,open,0.7854147,True
cdp-seattle-21723dcf,66b466035bb7,"Hearing no objection, the public comment period is extended to 2 40 p.m.",open,0.6677891,False
cdp-seattle-21723dcf,b3c9f239a5c3,Public comment period is now open.,open,0.9805967,True
cdp-seattle-21723dcf,b3c9f239a5c3,So we're going to go ahead and open up the public comment period.,open,0.8016099,True
cdp-seattle-21723dcf,b3c9f239a5c3,"So if there's no objection, the public comment period will be extended to a total of 60 minutes for today.",open,0.67836505,False
cdp-seattle-21723dcf,856cad24e151,So public comment is now open.,open,0.8643329,True
cdp-seattle-21723dcf,5a55204b9128,"Checking public comment, I see that the last three public commenters are still showing is not present, so with that, we will conclude public comment.",open,0.72120583,False
cdp-seattle-21723dcf,5a55204b9128,"At this time, we will transition into public comment.",open,0.6757506,True
cdp-seattle-21723dcf,5a55204b9128,I will moderate the public comment period in the following manner.,open,0.60204655,False
cdp-seattle-21723dcf,37f33152b1ea,So we will close the public comment session.,open,0.69695306,False
cdp-seattle-21723dcf,37f33152b1ea,The public comment period for this meeting is 20 minutes.,open,0.6294991,False
cdp-seattle-21723dcf,37f33152b1ea,I'll moderate the public comment period in the following manner.,open,0.6108875,False
cdp-seattle-21723dcf,531b035f4dbd,"Our committee on Tuesday, October 26th, we'll start with public comment.",open,0.58563644,False
cdp-seattle-21723dcf,531b035f4dbd,They expect it to remain closed today.,open,0.39604956,False
cdp-seattle-21723dcf,531b035f4dbd,"Again, a reminder, we start at 9 30 AM, 30 minutes of public testimony.",open,0.37471566,False
cdp-seattle-21723dcf,c5cfcff2fa7d,"I wanted to go back to the comments, um, The comments that, uh, chair Strauss had made about the importance of this legislation already, including public benefits.",open,0.44617116,False
cdp-seattle-21723dcf,c5cfcff2fa7d,We are adjourned for today.,open,0.41657868,False
cdp-seattle-21723dcf,c5cfcff2fa7d,"I mean, council member Strauss is saying this is to last minute and yes, the amendment did comment, uh, come on Sunday.",open,0.39646372,False
cdp-seattle-21723dcf,5930000b2d24,"At this time, we'll open the remote general public comment period.",open,0.73726064,True
cdp-seattle-21723dcf,5930000b2d24,"In that case, I'll dispense with the very long script about public comment, and we will close the public comment period now.",open,0.69104564,False
cdp-seattle-21723dcf,5930000b2d24,"I ask everyone to be patient as we operate this online system, and it remains the strong intent of the Council to have public comment regularly during meeting agendas.",open,0.50385344,False
cdp-seattle-21723dcf,f108cb7e78d0,The public comment period will go for 45 minutes,open,0.7318641,False
cdp-seattle-21723dcf,f108cb7e78d0,So folks who are signed up for public comment Please note that you will have one minute to provide public comment today And there will be many more opportunities to provide public comment in the upcoming two meetings Plus the upcoming full council meeting at this time.,open,0.64773554,False
cdp-seattle-21723dcf,f108cb7e78d0,"We do want to open up remote public comment We know that um time is restricted So appreciate you getting in your high level points and then following up with us with any additional information You may want to share at seattle Um at council, excuse me at council at seattle.gov",open,0.559642,False
cdp-seattle-21723dcf,194244d9e1fc,"Before we begin our agenda items, we, of course, have public comment.",open,0.54468155,False
cdp-seattle-21723dcf,194244d9e1fc,There are no other people who are showing up as present who are signed up for public comment.,open,0.5015076,False
cdp-seattle-21723dcf,194244d9e1fc,"Ted, just to confirm, are the other people who are signed up for public comment showing up as present?",open,0.48478585,False
cdp-seattle-21723dcf,45c09769ab78,The public has until May 7th at 5pm to offer comments to those rules.,open,0.59027886,False
cdp-seattle-21723dcf,45c09769ab78,I want to thank everybody who called in during the public comment periods.,open,0.4430008,False
cdp-seattle-21723dcf,45c09769ab78,OLS will consider any comments that aim to provide clarity and finalize the chapter in the upcoming months.,open,0.42006946,False
cdp-seattle-21723dcf,bb3e9a8ee7a3,The public comment period will be 20 minutes.,open,0.71150154,False
cdp-seattle-21723dcf,bb3e9a8ee7a3,"So now that we've walked through the agenda, I would like to open the public comment.",open,0.7114386,True
cdp-seattle-21723dcf,bb3e9a8ee7a3,"And with that, the public comment period is now open, and we will begin with the first speaker on the list.",open,0.7016907,True
cdp-seattle-21723dcf,40b9ede727a1,"Okay, I'm going to go ahead and open up the period of public comment now.",open,0.7872461,True
cdp-seattle-21723dcf,40b9ede727a1,We're now closing out the period of public comment and moving to other items of business on our agenda.,open,0.68052626,False
cdp-seattle-21723dcf,40b9ede727a1,"So if there's no objection, the public comment period will be extended to 30 minutes.",open,0.6722547,False
cdp-seattle-21723dcf,7f47079884fb,We are dedicating the entire evening to this so that's why this morning's agenda doesn't include public comment for us to accept public comment.,open,0.5735317,False
cdp-seattle-21723dcf,7f47079884fb,"I'm going to now move to suspend the rules to allow for the meeting to continue without public comment at this morning's meeting recognizing during this same day, throughout the evening, we will hear directly from members of the public.",open,0.56749827,False
cdp-seattle-21723dcf,7f47079884fb,And all of the opportunities to provide public comment are listed on the agenda for this afternoon.,open,0.5595656,False
cdp-seattle-21723dcf,0bc6e006b028,At this time we will move into public comment.,open,0.6633984,True
cdp-seattle-21723dcf,0bc6e006b028,We've got 11 people signed up for public comment today.,open,0.559939,False
cdp-seattle-21723dcf,09e8ad8f49ba,"And again, tomorrow morning, public comment opens up at 7.30 a.m. for sign-up, and we will have the first 30 minutes dedicated to public comment as well.",open,0.7639696,False
cdp-seattle-21723dcf,09e8ad8f49ba,"We do have a lot of people sign up for public comment and as I have noted in every meeting, we will have public comment at the beginning of every meeting.",open,0.6173305,False
cdp-seattle-21723dcf,94fc8f2e670b,"At this time, we will open the remote general public comment period.",open,0.7536358,True
cdp-seattle-21723dcf,b6ea23f7a9a3,I will moderate the public comment period today and we will have a public comment period for this meeting to last a total of 20 minutes.,open,0.65958655,False
cdp-seattle-21723dcf,b6ea23f7a9a3,"Colleagues at this time we will open the remote public comment period for items on the City Council agenda, introduction, referral calendar and the council's work program.",open,0.65415204,True
cdp-seattle-21723dcf,07b950311439,"The public reopening of City Hall that was scheduled for today, August 2, has been delayed indefinitely to an undetermined date in the future.",open,0.40606165,False
cdp-seattle-21723dcf,07b950311439,The bill came up previously in June where we extended the proviso to allow for this additional time for discussion with the Associated Departments and work units.,open,0.36482722,False
cdp-seattle-21723dcf,b8891923b600,At the time we will transition into public comment.,open,0.69714516,True
cdp-seattle-21723dcf,b8891923b600,The agenda shows we have 20 minutes for public comment.,open,0.5844563,False
cdp-seattle-21723dcf,062f6b2b2003,"At this time, we will open the remote public comment period.",open,0.77841884,True
cdp-seattle-21723dcf,062f6b2b2003,"As Monica mentioned, this is when we also opened up the public comment period, which will continue through December 11th and include the opportunity to submit written comments and also to attend three meetings and provide public comment.",open,0.72016346,False
cdp-seattle-21723dcf,f18ba226a2cd,The public comment period is now open and we will begin with the first speaker on the list.,open,0.71718645,True
cdp-seattle-21723dcf,f18ba226a2cd,Public comment period for this meeting is going to be 20 minutes.,open,0.65200335,False
cdp-seattle-21723dcf,726ec414e79f,I'm now going to open up the public comment period.,open,0.81907487,True
cdp-seattle-21723dcf,726ec414e79f,"We're now going to move to public comment period, colleagues.",open,0.70268154,True
cdp-seattle-21723dcf,726ec414e79f,"At this time, we will open the remote public comment period for items on the City Council agenda, introduction and referral calendar, and the Council's work program.",open,0.6595677,True
cdp-seattle-21723dcf,ad93acca5e2b,Seeing as we have no additional speakers present the public comment period is now open and we will move on to the next agenda item.,open,0.7850998,True
cdp-seattle-21723dcf,ad93acca5e2b,The public comment period is up to 10 minutes.,open,0.7504653,False
cdp-seattle-21723dcf,c41fc65bed07,So we are going to go ahead and close out the public comment period since we do not have any public comment registrants.,open,0.7519766,False
cdp-seattle-21723dcf,c41fc65bed07,"Just quickly before we open up public comment, we have three items of business.",open,0.48364678,False
cdp-seattle-21723dcf,6665642163d8,"Okay, public comment period is now open, and we will begin with the first speaker on the list.",open,0.6600487,True
cdp-seattle-21723dcf,6665642163d8,I'll moderate the public comment period.,open,0.6343174,False
cdp-seattle-21723dcf,82da1b59e1d5,So August 9 through September 3 is when this will be closed . There will be more announcements about alternative groups.,open,0.3987208,False
cdp-seattle-21723dcf,82da1b59e1d5,"Any other comments or questions? Lily, do you want to close us out?",open,0.38153058,False
cdp-seattle-21723dcf,82da1b59e1d5,"I will leave my comments they are so we can shift into executive session, unless there are any questions or anything else for the good of the order . It looks like there aren't any hands raised or questions that want to be added, so, colleagues, as presiding officer, I am announcing that the executive Council will convene in executive session . The purpose of the executive session is to discuss pending litigation, the executive session is an opportunity for Council to discuss confidential legal matters with the city's attorneys as required by law . A memo from the city's attorney office is present to make sure Council reserves questions of policy for open sessions . I expect the time of the executive session to end by 12:00 noon, today, if the executive session is to be extended beyond noon, I will announced the extension and the expended duration in open session.",open,0.3802389,False
cdp-seattle-21723dcf,777b2396616a,"Colleagues, at this time we will open the remote public comment period for items on the City Council agenda, introduction and referral calendar, and the council's work program.",open,0.6416676,True
cdp-seattle-21723dcf,01a6d09dd442,Thank you so much if there's no objection the minutes of July 6 2021 will be adopted.,open,0.37509945,False
cdp-seattle-21723dcf,01a6d09dd442,Hearing no objection the minutes are adopted and just want the record to reflect that we have now been joined by a council member hold welcome.,open,0.32782453,False
cdp-seattle-21723dcf,01a6d09dd442,Obviously council member savant has the right as a council member to make an amendment to the introduction referral calendar to introduce her proposed legislation in advance of the task force completing its work and my understanding is that that is likely going to happen this afternoon at two o'clock and if it does um folks will have to make a decision about whether or not um they agree with the chair of the public safety and human services committee and my um my support of that decision and um and and uh support or not support uh council member salon's motion to amend the introduction and referral calendar so with that being said let's go ahead and move down the line unless we have any other questions or comments right hearing none,open,0.31392753,False
cdp-seattle-21723dcf,20dc9c63e26e,"Public comment period is now open, and we'll begin with the first speaker on the list.",open,0.73619735,True
cdp-seattle-21723dcf,20dc9c63e26e,"Colleagues, at this time, we will open the remote public comment period for items on the city council agenda, introduction and referral calendar, and the council's work program.",open,0.6502645,True
cdp-seattle-21723dcf,09fbebde2426,Council member Mosquera is presenting a proclamation on affordable housing week and then we will open the floor to comments from other council members.,open,0.30065215,False
cdp-seattle-21723dcf,09fbebde2426,It is 2.01 p.m.,open,0.2890563,False
cdp-seattle-21723dcf,09fbebde2426,"Good afternoon, everyone, the May 10th 2021 meeting of the Seattle City Council come to order.",open,0.28308004,False
cdp-seattle-21723dcf,aa0009d09bf4,The regular public comment period for this committee meeting is now open.,open,0.82281286,True
cdp-seattle-21723dcf,65d7d6ac6178,"Right now, before we begin our items for today, we have public comment.",open,0.61031795,False
cdp-seattle-21723dcf,65d7d6ac6178,"Thank you, and thank you to all who spoke in today's public comment period.",open,0.54900503,False
cdp-seattle-21723dcf,65d7d6ac6178,The public comment during council meetings happens in the middle of the day when workers are working.,open,0.5005209,False
cdp-seattle-21723dcf,d594eaa5e872,"But again, this resolution today simply sets the date of the public hearing.",open,0.40559316,False
cdp-seattle-21723dcf,d594eaa5e872,My comments are on the report.,open,0.39970893,False
cdp-seattle-21723dcf,d594eaa5e872,Thank you again for opening the meeting that way.,open,0.38828063,False
cdp-seattle-21723dcf,f6e1f3c08a43,We go to a public comment period.,open,0.73897064,True
cdp-seattle-21723dcf,42537655cf11,"We will have exactly 20 minutes of public comment offered this afternoon during full Council, and I look forward to seeing you all then.",open,0.53449917,False
cdp-seattle-21723dcf,42537655cf11,"I am not hearing any additional comments, so I'm going to go ahead and adjourn us for the morning.",open,0.44699156,False
cdp-seattle-21723dcf,42537655cf11,"This would, just for by way of background, this would provide for any future declarations of public emergency that the provisions related to the Open Public Meetings Act, which were initially implemented by executive order by the governor and then subsequently extended through the duration earlier in session.",open,0.37933534,False
cdp-seattle-21723dcf,5d71e3116ccd,Public comment period for this time is up to 10 minutes.,open,0.7622803,False
cdp-seattle-21723dcf,5d71e3116ccd,"Public comment period is now open, and we will begin with the first Speaker on the list.",open,0.74286366,True
cdp-seattle-21723dcf,5d71e3116ccd,"Sun, can you confirm there are no public registrants for public comment?",open,0.625999,False
cdp-seattle-21723dcf,7f74c8c60869,Public comment period for today is 20 minutes.,open,0.6833364,False
cdp-seattle-21723dcf,7f74c8c60869,Public comment link is also listed on today's agenda.,open,0.6672379,False
cdp-seattle-21723dcf,d62acc3d7c0a,"At this time, we will open the remote public comment period for items on today's agenda.",open,0.7301452,True
cdp-seattle-21723dcf,d62acc3d7c0a,"Hearing no objection, public comment is now closed.",open,0.7196621,False
cdp-seattle-21723dcf,d62acc3d7c0a,"So, while we are opening public comment, we will immediately close it if you've signed up inadvertently for full councils, public comment, full council has been canceled for today.",open,0.652881,False
cdp-seattle-21723dcf,d20830106f1f,Let's move into public comment first.,open,0.5416326,False
cdp-seattle-21723dcf,d20830106f1f,There are 21 people signed up for public comment.,open,0.50908697,False
cdp-seattle-21723dcf,d20830106f1f,I am seeing no additional comments.,open,0.45750913,False
cdp-seattle-21723dcf,ab1f63bb1acf,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,open,0.1502266,False
cdp-seattle-21723dcf,ab1f63bb1acf,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,open,0.14806794,False
cdp-seattle-21723dcf,ab1f63bb1acf,. .,open,0.10529462,False
cdp-seattle-21723dcf,650a08ca4118,Public comment period is now open and will remain open until 225 p.m. or until we finish with those individuals who've signed up for public comment.,open,0.8882972,True
cdp-seattle-21723dcf,650a08ca4118,"At this time, we'll open remote public comment period for items on the City Council agenda, introduction and referral calendar, and the Council's work program.",open,0.6564744,True
cdp-seattle-21723dcf,baf9d6f05851,So at this time we'll open the remote general public comment period.,open,0.7299859,True
cdp-seattle-21723dcf,baf9d6f05851,So in that case we will go ahead and close the public the general public comment period and we'll go right to item 1.,open,0.6284021,False
cdp-seattle-21723dcf,baf9d6f05851,I'm noting that there are no speakers signed up for the general public comment period.,open,0.5654522,False
cdp-seattle-21723dcf,25cd720cac89,"At this point, we'll be moving into public comment.",open,0.5869834,True
cdp-seattle-21723dcf,25cd720cac89,"Hearing no objections, public comment has been extended.",open,0.58485365,False
cdp-seattle-21723dcf,25cd720cac89,I will suspend the rules to allow an additional 10 minutes for a total of 30 minutes of public comment.,open,0.584527,False
cdp-seattle-21723dcf,da5102808a71,We will start as we usually do with 20 minutes of public comment and then move into items of business on the agenda at 10 a.m.,open,0.5212788,False
cdp-seattle-21723dcf,da5102808a71,Looks like there are no additional comments or questions.,open,0.43838647,False
cdp-seattle-21723dcf,da5102808a71,Excuse me if the executive session is to be extended beyond 12 o'clock p.m. today I will return to open session and announce the extension and the expected duration.,open,0.4037354,False
cdp-seattle-21723dcf,1e925b05ea76,I also wanted to share with you before we open up for public comment two important numbers.,open,0.524422,False
cdp-seattle-21723dcf,1e925b05ea76,I know that yesterday some people had problems with public comment on that direction so I want to make sure everybody is aware of that.,open,0.4634019,False
cdp-seattle-21723dcf,1e925b05ea76,"So with that conclusion of public comment, our first agenda item begins.",open,0.45307726,False
cdp-seattle-21723dcf,b2819495d78a,"And colleagues, if there is no objection, the public comment period will be extended for an additional 10 minutes.",open,0.6697289,False
cdp-seattle-21723dcf,761c96b234f3,"Public comment period is now open, we will begin with the first Speaker on the list, again, when I call your name, you are going to hear you have been Unmute it and you have to press Star X in order for us to be able to hear you.",open,0.62038815,True
cdp-seattle-21723dcf,761c96b234f3,"All right, we are going to move into public comment.",open,0.58992696,True
cdp-seattle-21723dcf,761c96b234f3,"I will moderate the public comment period in the following manner--the public comment period for this meeting was originally scheduled to be 20 minutes with each Speaker being provided two minutes to speak, however, in reviewing the public comment Sign-Up sheet, I am noticing that we are up to approximately 52 individuals who are Preregistered to speak, so I would like to go ahead and extend the public comment period to last up to 60 minutes with each person being provided one minute to speak, that should give us an opportunity to get through everyone today, so for those of you who called in today, please begin paring down your comments to one minute instead of two minutes, I do apologize for that, but we want to make sure that we have an opportunity to hear from all of those who signed up to speak, and your cooperation on that front will help us achieve that.",open,0.5833274,False
cdp-seattle-21723dcf,ec19664da81b,"As always, the public comment period is a chance for people to sign up and give us their thoughts on all items related to today's agenda or our work plan.",open,0.70119864,False
cdp-seattle-21723dcf,ec19664da81b,"You're going to hear a 10-second chime at the end of the public comment, and we will make sure to give you that 10-second time so that you can wrap up your public comment, and that way you don't get cut off.",open,0.5962205,False
cdp-seattle-21723dcf,ec19664da81b,"It is our effort to try to make sure that we get through everybody who is listed for public comment today, and right now, folks, that is about 20 people signed up for public comment.",open,0.5793362,False
cdp-seattle-21723dcf,5b1f986779c8,Public comment period is open and closed.,open,0.9210367,False
cdp-seattle-21723dcf,5b1f986779c8,"I should say first, sorry, we do have a public comment period.",open,0.6822047,False
