text,topic
Will the clerk please call the roll on the passage of the bill? Council Member Strauss? Yes.,admin
"Thank you, Council Member Strauss, for that sign. Will you please call the roll on the passage of the bill? Council Member Strauss?",admin
"The committee recommends that the bill pass. Council Member Strauss? Thank you, Council President, colleagues.",admin
"Okay, not seeing any. Madam Clerk, will you please call the roll? Council Member Strauss?",admin
"All right, not seeing any. Will the clerk please call the roll? Council Member Strauss?",admin
"Madam Clerk, will you please call the roll? Council Member Strauss? Yes.",admin
"Seeing none, Madam Clerk, will you please call the roll? Council Member Strauss? Yes.",admin
"And we have a second, and there's no comments to the substitute. So with that, will the clerk please call the roll? Council Member Strauss?",admin
"And I'm Alex Peterson, serving as president pro tem. Will the clerk please call the roll? Councilmember Herbold?",admin
Go ahead and the clerk is on the line. Go ahead and call the roll for affixing your names to the proclamation. Councilmember Herbold?,admin
"The time is 9.32 a.m. I'm Alex Peterson, chair of the committee. Will the clerk please call the roll?",admin
Will the clerk please call the roll? Councilmember Herbold? Here.,admin
"We'll take one more question and then we're going to go ahead and call that. Call the boat. Council member Peterson, please go ahead.",admin
"Are there any additional comments or questions? Hearing none. Madam clerk, will you please call the role of the recommendation for the appointments and items one through 11.",admin
"I'll open it up to any additional comments or questions from you, but I'll just build off of what Bridget just said. Myself and Freddie. Who's actually the clerk for our committee as well.",admin
Council members. I have a amendment number two. And I'm going to call the roll on amendment number two.,admin
"Madam clerk. Could you please call for the, excuse me, call the roll on the adoption of amendment number two. Council member.",admin
"Hearing none. Madam clerk, could you please call the roll on adoption of amendment number three? Mr. Herbold.",admin
"Hearing no comments. Will the clerk please call the role on the committee recommendation that the appointments be confirmed? Uh, council member Herbold.",admin
"No comments, will the clerk please call the roll on the committee recommendation that the appointments be confirmed? Council Member Herbold. Yes. Council",admin
"Well, the clerk, it's been moved and seconded to recommend approval of the legislation. Will the clerk please call the roll. Council member Lewis.",admin
Will the clerk please call the roll? Councilmember Lewis? Present.,admin
"It is now 9.32 a.m. I'm Lisa Herbold, Chair of the Committee. Will the Clerk please call the roll?",admin
Will the clerk please call the roll. Councilmember Lewis. Present.,admin
"Committee, today is Friday, April 15th, 2022, and the time is 9.31 a.m. I am the chair of the committee, Council Member Kshama Sawant. Would the clerk, Ted Verdone from my office, please call the roll.",admin
The bill has been moved and seconded. Will the clerk please call the roll? Council Member Sela?,admin
"So we will, yeah, we will have the bill on the council on April 26th. Thank you, Council Member Strauss. Thank you, Jeff Sims.",admin
"Is there a second? Thank you. Would the clerk, Ted Verdon, please call the roll?",admin
"Will the meeting please come to order? It is 2-0-1. Clerk, will you please call the roll?",admin
"Good hope 9:30, this is Alex Pedersen. Will the clerk please call the role?",admin
With the clerk please call the roll. To pass 120303 [roll call] Thank you and the recommendation it passes will be sent to the April 26th city council meeting.,admin
With the clerk please call the roll. And pass 1020304. [roll call],admin
I'm Deborah Juarez will the clerk. Please call the roll.  Councilmember Morales.,admin
Clerk. I moved to pass Council. Bill 120 298.,admin
"120? 298? Okay, not seeing or hearing any, will the clerk.",admin
Please call the roll on the passage of the bill.  Councilmember Morales.  Councilmember mascara by councilmember Nelson.,admin
" Okay, not seeing any comments or questions will the clerk. Please, call the role of the passage of the bill?  Councilmember Morales.",admin
" You good?  Okay, so, okay. Well the clerk please call the roll on the passage of the bill.",admin
"Will you please call the roll on the passage of the bill? Councilmember Morales? Yes, councilmember.",admin
"I have a motion to approve, seconded by councilmember Musqueda, chair of the finance and housing committee. Madam Clerk, please call the roll. Councilmember Herbold?",admin
"Hearing none. Madam clerk. Will you please call the role of the, on the passage of resolution three, two zero four nine.",admin
Okay. I'm not hearing from the clerk. So let me see if.,admin
"It's been moved and seconded to recommend approval of the legislation. Any final comments? OK, will the clerk please call the roll?",admin
Thank you. It's been moved and seconded to recommend approval. Will the clerk please call the roll on this bill?,admin
Thank you. It's been moved and seconded. Will the clerk please call the roll?,admin
It's been moved and seconded. Will the clerk please call the roll? Council Member Lewis.,admin
"Can we, clerk, can you please call the roll? Council Member Mosqueda. Present.",admin
"Are there any other comments, questions, or concerns for Council Member Herbold before we ask the clerk to take the roll? Not seeing any. Madam Clerk, can you please call the roll?",admin
"Madam Clerk, will you please call the roll? Council Member Mosqueda? Aye.",admin
"Madam Clerk, will you please take, call the roll on Council Member Herbold's letter? Council Member Mosqueda. Aye.",admin
"I'm Lisa Herbold, Chair of the Committee. Will the clerk please call the roll? Vice Chair Lewis.",admin
"Okay, not seeing anyone else. Will the clerk please call the roll? Council Member Mosqueda?",admin
Is there anybody else has any questions for Council Member Peterson? Not seeing any. Would the clerk please call the roll?,admin
"So, with that, will the Clerk please call the roll on the passage of the bill? Council Member Mosqueda? Aye.",admin
"So with that, I will be supporting this, and Madam Clerk, can you please call the roll? Councilmember Mosqueda? Aye.",admin
Will the clerk please call the roll? Council President Juarez? Here.,admin
Will the clerk please call the roll? Council Member Peterson. Present.,admin
"I'm sorry, please call the roll on the committee recommendation. Council Member Peterson. Yes.",admin
"Madam Clerk, can you call the roll? Council member Peterson. Yes.",admin
"Amended amendment, correct? Yes. Okay, so with that, Madam Clerk, who do you call the roll?",admin
"Correct. Okay, so I do move for a full vote on the base legislation as amended. Madam Clerk, can you please call the roll?",admin
The time is 2.01 p.m. Will the clerk please call the roll? Councilmember Wilson?,admin
Will the clerk please call the roll? Council Member Nelson? Present.,admin
"Hearing no comments, will the clerk please call the roll on the passage of the bill? Council Member Nelson? Aye.",admin
"Seeing none, will the clerk please call the roll on the passage of the bill? Council Member Nelson? Aye.",admin
"I'm Teresa Mosqueda, Chair of the Finance and Housing Committee. Will the clerk please call the roll? Council Member Herbold.",admin
And will the committee clerk please call the roll? Councilmember Herbold? Here.,admin
"It is to go to PM, and I am Lisa herbal chair of the committee, the clerk, please call the role. Vice Chair Lewis. Present.",admin
"I'm Lisa Herbold, Chair of the Committee with the Clerk. Please call the roll. Vice Chair Lewis, present.",admin
"Clerk, please call the roll on the passage of the resolution. Council Member Mosqueda. No.",admin
"With that, will the clerk please call the roll on the passage of the bill as amended? Council Member Mosqueda? No.",admin
"I am Andrew Lewis, Council President pro tem. Will the clerk please call the roll? Council Member Peterson.",admin
"Okay, I'm hearing no further comments. Will the clerk please call the roll on the adoption of the amendment proposed by Council Member Peterson to the introduction referral calendar? Council Member Peterson?",admin
"Hearing no comments, will the clerk please call the roll on the adoption of the introduction and referral calendar as amended? Council Member Peterson? Yes.",admin
"Seeing no comments, will the Clerk please call the roll on the adoption of Amendment 1? Council Member Peterson? Yes.",admin
Will the clerk please call the roll? Council Member Sawant? Council Member Strauss?,admin
"If there are no other comments, will the clerk please call the roll on the adoption of amendment three? Council Member Strauss? Yes.",admin
"Seeing none, will the clerk please call the roll on adoption of amendment four? Council Member Strauss? Yes.",admin
Okay. Will the clerk please call the roll on the committee recommendation that the bill pass as amended? Council Member Strauss?,admin
All right. Will the clerk please call the roll on the adoption of Amendment 1? Council Member Strauss?,admin
"No, thank you. Okay. Will the clerk please call the roll on the adoption of Amendment 3?",admin
"Seeing none, will the clerk please call the roll on the adoption of Amendment 4? Council Member Strauss? Yes.",admin
Are there any further comments or questions from my colleagues? Okay. Will the clerk please call the roll on the adoption of Amendment 5?,admin
All right. Will the clerk call the roll on committee recommendation that the bill pass as amended? Council Member Strauss?,admin
Will the clerk please call the roll? Council Member Peterson? Yes.,admin
No. Okay. Will the clerk please call the roll?,admin
"The time is 2 o'clock. I'm going to call the roll. Madam clerk, will you please call the roll?",admin
"I'm Alex Peterson, chair of the committee. Will the clerk please call the roll. Council member Herbold.",admin
"Okay, great. Will the clerk please call the role on the committee recommendation that the council will be approved for forwarding to the full council. Council member Herbold.",admin
"Okay. Well, the clerk please call the roll on the committee recommendation. Accounts bill one two zero three zero one B approved for forwarding to the full council.",admin
"Okay. Well, the clerk, please call the roll. On the committee recommendation that council.",admin
"Okay. Will the clerk please call the role of the committee recommendation that resolution three, two zero five, three be approved for forwarding to the full council. Yes.",admin
"Madam Clerk, will you please call the roll? Council Member Solange. Council Member Strauss.",admin
"It will be Council Bill 120330. Thank you. And thank you, Madam Clerk for being so quick on the draw.",admin
"Anything else? Not seeing any. Madam Clerk, will you please call the roll on the amended?",admin
Will the Clerk please call the roll? Council Member Strauss? Yes.,admin
Not seeing any. Will the clerk please call the roll on the passage of the bill? Council Member Strauss.,admin
"Okay, not seeing any. Will the clerk please call the roll on the passage of the bill? Council Member Strauss?",admin
"Okay, not seeing any, that was easy. Will the clerk please call the roll on the passage of the resolution? Council Member Strauss?",admin
The time is 9.45am. Sorry for the 15 minute delay here. We're going to go ahead and get started with the call of the roll.,admin
"Madam Clerk, could you please call the roll? Council Member Peterson? Present.",admin
"That. Hearing No additional comments or questions, Madam Clerk, will you please call the roll on the passage of the carry forward ordinance, Council Bill 120316? Council Member Herbold? Yes.",admin
"Today is Friday, May 20, 2022, and the time is 9.30 a.m. I am the chair of the committee, Councilmember Kshama Sawant. Would the chair, Ted Verdone, from my office, please call the roll?",admin
"Okay. And then now the underlying bill as amended, Ted, will you please call the roll? Council Member Sawant?",admin
"The time is two o'clock. Madam Clerk, will you please call the roll? Council Member Strauss?",admin
"I am Lisa Herbold, Chair of the Committee. Will the clerk please call the roll? Council Member Mosqueda?",admin
"In Favor. Amendment 15 Passes. Moving on,",admin
Will the clerk please call the roll on the amendment? Council Member Mosqueda. Abstain. Council Member,admin
Clerk please call the roll on the amendment? Council Member Mosqueda? Aye. Council Member,admin
Will it please come to order? It is 202. And I'm Debra Juarez.,admin
"Madam Clerk, will you please call the roll on the amended... Point of information, Council President? Yes.",admin
"Let's go forward. Madam Clerk, can you please call the roll on the amended agenda in which we will be voting on voting and discussing item nine, and then item eight. Council Member Strauss?",admin
"Thank you for that. So it's been moved and seconded, and we've had comments. So Madam Clerk, can you please call the roll?",admin
Will the clerk please call the roll on passage of the bill? Council Member Strauss? Yes.,admin
Will the clerk please call the roll on the passage of the bill? Council Member Strauss. Yes.,admin
Will the clerk please call the roll on item number six? Councilmember Strauss? Yes.,admin
"Okay, so not seeing any more comments or questions. Will the clerk please call the roll on the passage of the bill? Council Member Strauss?",admin
"Okay. So with that, Madam Clerk, will you please call the roll on the proposed amendment? Council President, point of order.",admin
"Okay, not seeing any. Will the clerk please call the roll on the amendment, the proposed amendment A. Council Member Strauss?",admin
"So with that, Councilmembers, will the clerk please call the roll on the adoption of the resolution as amended? Councilmember Strauss? Councilmember Strauss?",admin
"It's that, Council President, the count was wrong. It was six in favor, three opposed. Oh, I'm sorry, six to three, but it's still, it does pass, is adopted as amended.",admin
"So I'll get off my soapbox. And with that, Madam Clerk, will you please call the roll on the passage? I'm sorry, Councilor Mosqueda.",admin
Madam Clerk will you please call the roll on the passage of the bill? Council Member Strauss? Yes.,admin
"Will the clerk please call, wait is there anything else you want to say Councilor Peterson before we go to the roll? Okay great. Will the clerk please call the roll on the passage of the bill?",admin
"Madam Clerk, will you please call the roll on the passage of the bill? Council Member Strauss? Yes.",admin
Not seeing any other comments will the clerk please call roll on the passage of the bill? Council Member Strauss? Yes.,admin
Okay thank you and thank you Council Member Morales for being the co-sponsor. Will the clerk please call the roll on the passage of the bill? Council Member Strauss?,admin
Will the clerk please call the roll? Council Member Herbold? Council Member Sawant?,admin
"It's 9.32 AM. I'm Tammy Morales, chair of the committee. Uh Devin, will you please call the roll?",admin
It's been moved and seconded to recommend approval. Will the Clerk please call the roll? Council Member Strauss.,admin
"To recommend approval of these appointments, will the clerk please call the roll? Council Member Strauss? Yes.",admin
I am Debra Juarez. Will the clerk please call the roll? Councilmember Herbold?,admin
"I'm Alex Peterson, chair of the committee. Will the clerk please call the roll? Councilmember Herbold?",admin
Will the clerk please call the roll on the committee recommendation to pass Council Bill 120322? Council Member Herbold? Yes.,admin
Will the clerk please call the roll on the committee recommendation to pass Council Bill 120323? Council Member Herbal? Yes.,admin
"Madam Clerk, will you please call the roll? Council Member Lewis. Present.",admin
"All right, not seeing any. Will the clerk please call the roll on the adoption to postpone this legislation until Tuesday, June 14th. Council member Lewis.",admin
"Or I colleagues. Thank you. Okay, with that, would the clerk please call the roll on the confirmation of the appointment of Ms. Hamdi Muhammad to OIRA.",admin
"It will come to order it is 2.03 PM. I'm Dan Stroud, chair of the committee. Will the clerk please call the roll?",admin
Will the clerk please call the roll? Council member Peterson? Yes.,admin
It has been moved and seconded to recommend adoption of council bill 120287 as amended. Will the clerk please call the roll? Council member Peterson?,admin
"Madam Clerk, will you please call the roll? Council Member Herbold? Here.",admin
"Council Member Peterson? Madam Clerk, I just want to make sure your microphone is on. It's on.",admin
"The briefing meeting come to order. Clerk, will you call the roll? & GT;",admin
"Will you please  Call the roll, on the passage of the bill.  That's another ammo Dallas.",admin
" Thank you. Thank you. Okay, well the clerk please call the roll on the confirmation of the appointment of Miss winkler-chin.",admin
" Okay, with that. We will move on to the land, use committee and councilmember Strauss is out on the diocese. I think he's in my seat but okay, will the clerk, please call read the short title of item 3 into the record.",admin
"Well, rub a lamp. So let's move on. Will the will the clerk please call the roll on the passage of the bill.",admin
"Councilmember Strauss. It's you again. But anyway, clerk would you please read the short title for the record again, item for Council.",admin
"Thank you. Well, the clerk please call the roll on the passage of the bill.  What Alice?",admin
"Do not choose any comments or questions, not seen. Any then we will go to a vote. Madam clerk, would you please call the roll on the passage of the bill?",admin
"Madam clerk, could you please call the roll on the passage of Council bill 120343. [roll being called] Madam chair.",admin
"Hashing Nong, I'm going to go ahead and call the roll. [roll being called wreck [ If I'm correct, that's five in support.",admin
Madam clerk. Would you please call the roll. [roll being called],admin
"I am Andrew Lewis, chair of the committee. Council President Juarez informed me she will be absent and is excuse. Will the clerk please call the role?",admin
Any other comments on the bill in front of committee? Seeing no additional comments. Will the clerk please call the roll?,admin
So any changes the council may approve throughout the year to the adopted budget. Would in any payments made based on those changes would be consistent and then makes explicit reference to current state law. So that's the template for the city's budget.,budget
"Have all the information we need as we look at the budgets in front of us. Okay. Hey, any additional comments or questions?",budget
"And then be stabilized and operational. In, you know, Q3, Q3, hopefully not Q4, 2023. And with that, I'll hand it back over to Chris.",budget
"I just. Hop in there for a quick second to add additional context. And I, I might reframe it to say that I think from my perspective, the stall is really in large part due to the company is not coming to the table in good faith. And offering only a nickel increase in the last negotiation.",budget
"This is the additional cost caused by the impact. And our projections have showed that going up at about $870,000. A month.",budget
"I think that we're going to see that increase and we're going to see the level of distrust with government agencies decrease. Not really sure if that's what you were looking for, Mark. Thank you.",budget
"The 2022 adopted budget includes $9.3 million. Christopher, I think we're one slide off. Jacob, would you mind moving it forward one more?",budget
Yep. About 30 a month right now. Wow.,budget
"Given that this legislation is coming up after budget decisions for 2022 have already been made, there needs to be some continuing discussion about whether there are funds available to reprioritize for this purpose, assuming that a contract would be executed in 2022. It's not clear that either of the departments have funding that they would be able to reprioritize for this. I don't believe that there is existing extra funding, especially given the current conversations about general fund challenges moving into 2023.",budget
"It may be worth further conversations both with the department and committee about the scope of enforcement on this piece of legislation might look like. The last piece of the funding conversation is that even if a funding were found to support the contract enforcement in 2022, there will need to be conversations during the budget discussions for 2023 that would provide ongoing funds for a contract with a research university. It's both a conversation about how to implement this legislation in 22 and then assuming that that is not ongoing funding what that looks like in 2023 and beyond.",budget
Input from. As the city workforce and the workforce rallying points are an example of this that I'll discuss more in the next slide. One lesson that we've learned as we implement this new policy is the need to be able to use one-time funding.,budget
"And as Terry mentioned, we've been able to use one-time funding such as urban security initiative funding. But as Tay will discuss more. This funding is, is unreliable.",budget
"That the tested in 2016. And then it was consistent around 60 and 68 and 57. So over the years, it's been a little bit more consistent.",budget
"Okay. So you're saying, so you're making a direct correlation, but was, you know, the. The executive order wasn't in place for very long, but it wasn't in place for a very long time.",budget
"And, um, that is the only information I had for you today, um, because there are no, uh, amendments that would seek to prohibit or condition, um, the spending in any way that would potentially, uh, disrupt the grant. Um, there's, there's not a need to discuss any fiscal matters, um, uh, relative to provisos. So, um, at that point, I think, uh, um, we are, the committee is, is ready to vote.",budget
"These costs include outreach, development of the technology to support the registry and temporary staff to support these efforts. The department anticipates requesting this additional general fund support in the forthcoming mid-year supplemental budget. SDCI will then consider what if any ongoing staffing and funding needs might be necessary next year and these would be included in the 2023 proposed budget.",budget
I'm wondering if we might just have you elaborate on that for just a quick second given the budget situation that we're all in and in together as a city family. We are looking forward to opportunities to mindfully move forward important legislation like this as well as couple these discussions on policy with the fiscal impact since we don't have a traditional system as council member Strauss I know it's something you were advocating for last year to have a policy committee then a fiscal committee and then full council. So would love to take a second if you might for central staff to help us identify any additional considerations around the fiscal note and if there's a possible funding source again I'll underscore my support for this legislation.,budget
"The budget has been a topic of the past. This time, I'm not having any presentations. I'm just going to be answering your questions so submit your questions on my website and I'll answer them.",budget
"There is a published agenda, excuse me, there is a published calendar on their website, and the published agenda will be up there at the latest on Thursday midday. Colleagues, this is an opportunity for us to hear in real time the report out from the Economic and Revenue Forecast Department as they present to the Council on the various strategies and recommended actions, and it will be the opportunity for the Council to take its first action, either accepting or amending the proposal in front of us. We will then have a follow-up in our committee on April 20th to have a presentation, a report out on any actions that the Council takes, so you'll have two opportunities to really hear in depth the presentation on the revenue forecast.",budget
I think that is a really good way to. Ensure that policy is able to leverage funds and vice versa. Just wanted to throw that out there.,budget
"Transmitted to the mayor, probably in June, early June. In the hopes of being able to have meaningful input on the proposed budget recommendations. So the full council will also receive a copy of those initial budget recommendations.",budget
"Yeah, sorry. One more last question for Javier. I might've missed it in your presentation, but how is core paid for?",budget
"It's 37%. Also want to flag that. The, the, the FAS has has recognized some improvements in the licensing fee.",budget
That that would result in greater equity. In in last year's. Pre budget process had actually made a proposal.,budget
"So anything that increase tax on a small business, propose a harm that in some cases, you know, in some of these business, the revenue projection is very marginal anyway. So that's my answer as a small business owner to your question. Thank you, Olly.",budget
"In past years, when the watch list has come before us. I have advocated. And for many years, it sounded like the budget office was amenable to doing this, but it hadn't happened.",budget
"The overhead equipment replacement project. The overhead equipment replacement project. So they, that is a new format, but, but it's consistent with 2021.",budget
"And I'm just wondering, I know that the CBO was talking about the difficulty of doing. Sort of a programmatic. Inclusion on the watch list is.",budget
"You know, the, the program will spend over time. So I think that's one of the main challenges is, is reporting the financial data. So there is.",budget
"And we'll have a chance to ask any questions or hear the outcome of the council's deliberation. At our April 20th meeting, we will have the office of economic revenue forecast presentation on what the council deliberated. We'll have the CBO city budget office forecast presentation, which will comment on the other revenue streams.",budget
"Thank you. So we'll have a chance to ask questions or comment on the other revenue streams and revenue forecasts of that. Do not go through the office of economic revenue forecast, and we'll have an explanation of which ones do and which ones don't go through each of those offices.",budget
"Oh, that's $10,000. Total or. Yeah.",budget
A terribly significant in the scheme of our budget. Okay. Great.,budget
"Uh, Let's see, it is, it would be, uh, lost potential revenue. To the city as opposed to an actual expense. Um, Okay.",budget
"And what happens there in the longterm should also be considered as you're considering this, um, The options within this. Thank you. Thank you.",budget
"And so when thinking of a transfer like this, Um, You know, There may be future situations where, um, this could happen again. And so just wanting to make sure that, that all your. You know, teas are crossed and eyes are dotted.",budget
"Next. As Robert mentioned, uh, 2021 was a challenging year for all of us. Um, and we had some challenges and lessons learned.",budget
We are a very small office with currently 10 staff members and with an annual budget of $5.7 million and some of those dollars come from the general fund and others come from grants. Next slide please. Great.,budget
We've actually collected bank notes off of eBay and Craigslist and stuff that actually say University National Bank. So it's history of printing U.S. currency. It just blows my mind.,budget
"All right, Elsa. Thanks, Quinn. So this year was a historic investment in the capital budget, following on a previous historic year in 2021.",budget
"This the package will raise approximately just shy of 17 billion dollars over the next 16 years. The revenue sources and funding allocations haven't changed significantly since the briefing that we did earlier on in the legislative session, except for the export fuel tax proposal was dropped late in legislative session and replaced by two transfers from the general fund and the public works trust fund. I the the overview document that's provided provides a broad summary of both the revenues and spending.",budget
We'll also have the office of economic revenue forecast. Presentation and a presentation from the city budget's office for cap presentation. These two items will provide a more complete picture to the revenue forecast for the remainder of this year.,budget
"And for looking at 2023 and 2024. I'll provide a quick summary of the economic revenue forecast council for which council president, whereas, and myself sit on. Along with two representatives from the mayor's office, which just met on Friday.",budget
"This revenue forecast council is the opportunity for us as a council along with the executive and members of the public to get in real time joint updates on what the revenue forecast looks like, Instead of having that information just be digest within the city's budget office. This is a opportunity for us to use a revenue forecast council process, similar to King County, similar to the state that has the leap program and independent revenue forecast office as well. And we had a great conversation on Friday last week and accepted the revenue forecast that the office of economic revenue forecast office presented to the council.",budget
The good news is that the overall forecast. Increased our overall revenue forecast has increased to the tune of 32.5 million. Available in new general fund dollars for the year 2022.,budget
"And there's also been an increase of 57.3 million dollars in non-general fund. Of course, that includes things like REIT and jumpstart. The non-general fund dollars, as we know, is dollars that are specifically allocated for specific purposes.",budget
So I'm distinguishing between the 32.5 million for general fund. Which is the $1.5 million for general fund. And the $1.5 million for non-general fund.,budget
And the $1.5 million for general fund. And the $1.5 million for non-general fund. So I'm distinguishing between the 32.5 million for general fund.,budget
Which is also great news. And in addition to that 57.3 million for non-general fund. I also want to note that this picture is not yet complete because there's a number of revenue sources that still remain within the city's budget office and the CBO will be coming to our committee meeting next week.,budget
"As I noted to provide an overall forecast for the rest of the revenue streams. I'll also note and lift up a part of the forecast news, which is much of the forecasting is still volatile given the international uncertainty and increased expenses. That includes the ongoing wars, plural across the globe, and also.",budget
"In the revenue forecast this year allowed for us to see that there is a projected increase of close to $44 million for the, over the November projections for 2022 jumpstart revenue, bringing the total for jumpstart revenue. To $277 million. As folks were reporting out on jumpstart revenue and saying, you know, there's a lot to be figured out in terms of how the return to work.",budget
"As was noted in the presentation, even the pessimistic forecast for jumpstart revenue, Makes me very optimistic. So I wanted to repeat that because it is at this point, $277 million just for 2022 alone. We're going to have some more updates for April 20th at our meeting to look at the fuller revenue picture again.",budget
"Every year, the department does request budget authority for these revenue back expenditures. And we usually wait to the end of the year so we can have a more accurate reflection of how much has actually been used by our detectives. Um, and then trying to see what it, what we asked for, for reimbursement.",budget
"And I want to try to be respectful of that. All I know is that they have decided to sell. Yeah, sorry.",budget
"No deeper insights. Well, because asking why is maybe the first step of saving it and reversing that decision, but all but out. OK, thanks.",budget
We will have that for briefing discussion and possible vote. We will have the April revenue forecast update. This will be presented as a summary of the forecast Council meeting for which Council President Juarez and I currently sit on and had our meeting last Friday.,budget
"We will then have a rounding out of the revenue forecast presented by the city's budget office. This will provide an update on the other lines of revenue that the Economic and Revenue Forecast Council does not have under its purview but remain at the city budget's office. With the combination of the information that the Revenue Forecast Council received last Friday and the update from the city's budget office on other lines of revenue, we will have a fuller picture of the revenue forecast for the remainder of 2022.",budget
So I wanted to really emphasize the origin of those dollars. Thanks so much. Thank you.,budget
"Them Councilmember, this is very straightforward. And this was considered in last year's budget. And we can identify that these were coming.",budget
"As Calvin mentioned, this is a . straightforward ordinance. This would allow us to accept grant revenue X at in excess of $25 million. For the East, marginal wave.",budget
"So we can see what voters were expecting. Nevertheless, it is very useful when we start taking about this. Let us jump into this presentation.",budget
I'm assuming that would change over time. That's updated. I'm assuming that would change over time.,budget
"Just to set the stage here for a quick second. As you'll recall on Friday, April 8th, We had the opportunity to look at the out years as well. And factor in how that revenue forecast may, may affect our ability to carry out.",budget
"Desired implementation for items this year, and also to help us plan for the 2023, 2024 budget cycle. By way of reminder, the office of economic and revenue forecast was championed by our former colleague. And to create greater accountability around our finance decisions.",budget
"There are caveats though. And I know director noble will walk us through some of those caveats here in just a moment, like increased costs, inflation instability and projects. And of course the ongoing budget deficit that we are working hard to address.",budget
"I should say the budget gap that we're working to address because there's ongoing needs and some short-term revenue that has been used over the years. I'm delighted to have the team here with us from the office of revenue and economic forecast. And that director noble, we'll be able to walk us through this along with yonder us and along with our central staff's office.",budget
"And for the work that you've done with us on the revenue forecast council to get us through that first revenue forecast projection on April 8th, we'll then have a presentation in our next item on the city budget office and from the city budget office. And then you'll have a chance to hear from the city budgets director, Julie Dingley on the revenues that they forecast again, as a reminder, not all revenue lines go through the revenue forecast office. So it's important for us to have the independent office of economic revenue forecast present their information.",budget
"We will then have that followed by the city budgets office and the fuller picture we'll be able to see at the end of those two presentations. And thanks to central staff for the work that they're doing to pull it all together, to tell us what this means, not just for the rest of 2022 and not even just for 2023, 24, but they will be providing us with an overall look over the next six years when we reconvene at our May 4th meeting. So without further ado, let me turn it directly over to director Ben Noble for our new independent office of economic and revenue forecast.",budget
"So this outline actually is useful to talk about in part, because it describes the forecast process as well. So our forecasting process is really a two-step one. We first developed an economic forecast for the region in particular, looking to project fundamental variables, which is what we call the economic forecast.",budget
"And having developed a multi-year forecast for the regional economy, we then use the outputs of that model to, to develop forecasts of revenue. We have historical data that show how the city's revenues correlate to things like income and employment within the region. To begin that process, though, we start with a national forecast.",budget
"So we have a national forecast, company, IHS market. And when we purchase forecasting services, and that's become the basis for our regional forecast. And again, the regional forecast for our revenue forecast.",budget
"I'll talk as we move through that, there are actually three different scenarios that we model out. And then we have made it, and both continue as things go forward to make a recommendation about which of those scenarios most appropriate for the, to, to base the city's budget process on in any given year. So diving in and starting with the economic update.",budget
"Stepping back some and expected perhaps to be in the economy. We've engaged in robust recovery. Significant other world events, however, have, have interrupted that process.",budget
"If that was what we had expected in particular, the war in Ukraine. And I'm going to talk about it here in terms of its economic consequences. It's human consequences are probably more important, but in the context of this work, we really do need to think about its economic impacts.",budget
And they are very significant. So supply chain disruptions are constraining. Manufacturing is noted here.,budget
"Food production, both Ukraine and Russia were major. Food commodity producers. That's creating escalating prices, the disruption there and supply.",budget
We only need to go to the local gas station to see how energy prices. Are hitting home for many and. And hitting and hitting personal budgets as well.,budget
So. Those are all issues that are creating significant uncertainty and you'll see this highlighted in both the national forecast and our forecast. Significant concern about where.,budget
The war in Ukraine may be taking us in terms of its economic impact. One thing that we definitely know has happened and it started actually. Before the war.,budget
